(4.99913-15.21479j), (4.99913-15.26309j), 0, 0, (1.0259-4.23498j), 0, 0, 0, 0, 0, 0, 0, 0, 0
(4.99913-15.26309j), (1.0259-4.14828j), (1.13502-4.78186j), (1.68603-5.11584j), (1.70114-5.19393j), 0, 0, 0, 0, 0, 0, 0, 0, 0
0, (1.13502-4.78186j), (1.13502-4.74586j), (1.98598-5.06882j), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, (1.68603-5.11584j), (1.98598-5.06882j), (1.68603-5.06754j), (6.84098-21.57855j), 0, (-0-4.78194j), 0, (-0-1.79798j), 0, 0, 0, 0, 0
(1.0259-4.23498j), (1.70114-5.19393j), 0, (6.84098-21.57855j), (1.70114-5.14863j), (-0-3.96794j), 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, (-0-3.96794j), (1.98598-5.06882j), 0, 0, 0, 0, (1.95503-4.09407j), (1.52597-3.17596j), (3.09893-6.10276j), 0
0, 0, 0, (-0-4.78194j), 0, 0, (6.84098-21.57855j), (-0-5.67698j), (-0-9.09008j), 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, (-0-5.67698j), -4.78194j, 0, 0, 0, 0, 0, 0
0, 0, 0, (-0-1.79798j), 0, 0, (-0-9.09008j), 0, -1.79798j, (3.90205-10.36539j), 0, 0, 0, (1.42401-3.02905j)
0, 0, 0, 0, 0, 0, 0, 0, (3.90205-10.36539j), -3.96794j, (1.88088-4.40294j), 0, 0, 0
0, 0, 0, 0, 0, (1.95503-4.09407j), 0, 0, 0, (1.88088-4.40294j), (1.95503-4.09407j), 0, 0, 0
0, 0, 0, 0, 0, (1.52597-3.17596j), 0, 0, 0, 0, 0, (1.52597-3.17596j), (2.48902-2.25197j), 0
0, 0, 0, 0, 0, (3.09893-6.10276j), 0, 0, 0, 0, 0, (2.48902-2.25197j), (3.09893-6.10276j), (1.13699-2.31496j)
0, 0, 0, 0, 0, 0, 0, 0, (1.42401-3.02905j), 0, 0, 0, (1.13699-2.31496j), -5.67698j
