(6.02503-19.44977j); (-4.99913+15.26309j); 0; 0; (-1.0259+4.23498j); 0; 0; 0; 0; 0; 0; 0; 0; 0
(-4.99913+15.26309j); (9.52132-30.26802j); (-1.13502+4.78186j); (-1.68603+5.11584j); (-1.70114+5.19393j); 0; 0; 0; 0; 0; 0; 0; 0; 0
0; (-1.13502+4.78186j); (3.12099-9.81468j); (-1.98598+5.06882j); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; (-1.68603+5.11584j); (-1.98598+5.06882j); (10.51299-38.29483j); (-6.84098+21.57855j); 0; 4.78194j; 0; 1.79798j; 0; 0; 0; 0; 0
(-1.0259+4.23498j); (-1.70114+5.19393j); 0; (-6.84098+21.57855j); (9.56802-34.9301j); 3.96794j; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 0; 0; 3.96794j; (6.57992-17.34073j); 0; 0; 0; 0; (-1.95503+4.09407j); (-1.52597+3.17596j); (-3.09893+6.10276j); 0
0; 0; 0; 4.78194j; 0; 0; -19.54901j; 5.67698j; 9.09008j; 0; 0; 0; 0; 0
0; 0; 0; 0; 0; 0; 5.67698j; -5.67698j; 0; 0; 0; 0; 0; 0
0; 0; 0; 1.79798j; 0; 0; 9.09008j; 0; (5.32606-24.09251j); (-3.90205+10.36539j); 0; 0; 0; (-1.42401+3.02905j)
0; 0; 0; 0; 0; 0; 0; 0; (-3.90205+10.36539j); (5.78293-14.76834j); (-1.88088+4.40294j); 0; 0; 0
0; 0; 0; 0; 0; (-1.95503+4.09407j); 0; 0; 0; (-1.88088+4.40294j); (3.83591-8.49702j); 0; 0; 0
0; 0; 0; 0; 0; (-1.52597+3.17596j); 0; 0; 0; 0; 0; (4.01499-5.42794j); (-2.48902+2.25197j); 0
0; 0; 0; 0; 0; (-3.09893+6.10276j); 0; 0; 0; 0; 0; (-2.48902+2.25197j); (6.72495-10.66969j); (-1.13699+2.31496j)
0; 0; 0; 0; 0; 0; 0; 0; (-1.42401+3.02905j); 0; 0; 0; (-1.13699+2.31496j); (2.561-5.34401j)
